"codigo_uc","nome_uc","ano_criacao","tempo_uc","municipio","uf","bioma","desmatamento_antes","desmatamento_depois"
"0000.00.2123","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PICO DO BARBADO",2010,13,"ABAÍRA","BA","Caatinga","0.13355501157587668","0.09009252441520818"
"0000.00.0261","ESTAÇÃO ECOLÓGICA DA MATA PRETA",2005,18,"ABELARDO LUZ","SC","Mata Atlântica","2.080773565714979","3.017165947844391"
"0000.26.1928","ÁREA DE PROTEÇÃO AMBIENTAL ALDEIA-BEBERIBE",2010,13,"ABREU E LIMA","PE","Mata Atlântica","3.754277339510358","0.44444245619109257"
"0000.22.4808","ÁREA DE PROTEÇÃO AMBIENTAL DAS NASCENTES DO RIO CANINDÉ",2017,6,"ACAUÃ","PI","Caatinga","2.032347384549011","0.3566050797154547"
"0134.52.3062","ÁREA DE PROTEÇÃO AMBIENTAL DOS BURITIS",2022,2,"ACREÚNA","GO","Cerrado","1.398342843436712","0.010851460716152301"
"0015.52.3608","ÁREA DE RELEVANTE INTERESSE ECOLÓGICO SERRA BONITA DE ADELANDIA",2017,7,"ADELÂNDIA","GO","Cerrado","0.0929607780288387","0.0007045983727213"
"0000.00.4520","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA ILHA",2022,1,"ADRIANÓPOLIS","PR","Mata Atlântica","1.3708809840440916","0.0403230645001007"
"0000.26.3944","REFÚGIO DE VIDA SILVESTRE SERRA DO GIZ",2019,4,"AFOGADOS DA INGAZEIRA","PE","Caatinga","1.0943893675492944","0.1140415523012895"
"0000.32.2914","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PASSOS",2011,12,"AFONSO CLÁUDIO","ES","Mata Atlântica","0.2917358846390696","0.1120109363886214"
"0000.32.2357","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL DEBORA",2010,13,"AFONSO CLÁUDIO","ES","Mata Atlântica","0.2900258010826316","0.11372101994505941"
"0000.32.2351","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VOVÓ DINDINHA",2010,13,"AFONSO CLÁUDIO","ES","Mata Atlântica","0.2900258010826316","0.1137210199450594"
"0000.00.2222","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL TRÊS PONTÕES",2004,19,"AFONSO CLÁUDIO","ES","Mata Atlântica","0.14669292996468658","0.2570538910630044"
"0000.00.2086","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CÓRREGO FLORESTA",2008,15,"AFONSO CLÁUDIO","ES","Mata Atlântica","0.25901856557387093","0.1447282554538201"
"0000.32.3456","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BOA FÉ",2016,7,"AFONSO CLÁUDIO","ES","Mata Atlântica","0.3494472503768564","0.05429957065083451"
"0000.32.3455","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL DUTRA PIMENTA",2016,7,"AFONSO CLÁUDIO","ES","Mata Atlântica","0.34944725037685653","0.0542995706508345"
"0000.32.3454","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PEDRA DA LAJINHA",2016,7,"AFONSO CLÁUDIO","ES","Mata Atlântica","0.34944725037685653","0.054299570650834496"
"0000.32.2916","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FREISLEBEN",2011,12,"AFONSO CLÁUDIO","ES","Mata Atlântica","0.29173588463906963","0.11201093638862139"
"0102.32.4619","MONA MUNICIPAL PEDRA DOS TRÊS PONTÕES",2015,8,"AFONSO CLÁUDIO","ES","Mata Atlântica","0.3380490323405218","0.06569778868716919"
"0000.32.2363","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SIMONE",2010,13,"AFONSO CLÁUDIO","ES","Mata Atlântica","0.29002580108263154","0.11372101994505938"
"0000.32.2361","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTADUAL CÓRREGO CASCATA",2011,12,"AFONSO CLÁUDIO","ES","Mata Atlântica","0.29173588463906963","0.11201093638862139"
"0000.32.2350","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BUGIO E COMPANHIA",2010,13,"AFONSO CLÁUDIO","ES","Mata Atlântica","0.2900258010826316","0.11372101994505938"
"0000.21.1892","ÁREA DE PROTEÇÃO AMBIENTAL DOS MORROS GARAPENSES",2010,14,"AFONSO CUNHA","MA","Cerrado","4.8584036688920635","5.097370741917926"
"0000.15.2042","PARQUE ESTADUAL CHARAPUCU",2010,14,"AFUÁ","PA","Amazônia","0.27147805605470304","0.027933306927699"
"0000.26.3786","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SERRO AZUL",2015,8,"AGRESTINA","PE","Caatinga","0.6235691686361651","0.0871514417423496"
"0000.26.3786","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SERRO AZUL",2015,8,"AGRESTINA","PE","Mata Atlântica","0.623569168636165","0.08715144174234957"
"0000.42.4899","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTADUAL MIRANTE DA AGRONÔMICA",2024,-1,"AGRONÔMICA","SC","Mata Atlântica","0.0904456552630308","0"
"0000.00.1229","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA RAMA",2002,22,"ÁGUA BOA","MT","Amazônia","2.137768465103689","12.778681961797203"
"0000.00.1229","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA RAMA",2002,22,"ÁGUA BOA","MT","Cerrado","2.137768465103689","12.778681961797206"
"0000.27.4937","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL DOMÍCIO SILVA",2021,2,"ÁGUA BRANCA","AL","Caatinga","0.9245732207819919","0.0154801922343396"
"0000.27.2576","REFÚGIO DE VIDA SILVESTRE DOS MORROS DO CARAUNÃ E DO PADRE",2012,11,"ÁGUA BRANCA","AL","Caatinga","0.8408719283870473","0.09918148462928443"
"0000.00.4581","PARQUE NACIONAL DA SERRA DO TEIXEIRA",2023,0,"ÁGUA BRANCA","PB","Caatinga","4.558247213200805","0.1923309040900966"
"0000.00.2112","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA SANTA TEREZINHA",2009,14,"ÁGUA DOCE","SC","Mata Atlântica","3.1382301653446265","1.4588472289836891"
"0000.52.1747","PARQUE ESTADUAL DA MATA ATLÂNTICA",2006,18,"ÁGUA LIMPA","GO","Mata Atlântica","0.1768442111578964","0.07450242124372027"
"0000.52.1747","PARQUE ESTADUAL DA MATA ATLÂNTICA",2006,18,"ÁGUA LIMPA","GO","Cerrado","0.1768442111578964","0.07450242124372027"
"0000.35.0869","PARQUE ESTADUAL ÁGUAS DA PRATA",2018,5,"ÁGUAS DA PRATA","SP","Mata Atlântica","0.0035478000240560994","0.0003909368524081"
"0000.52.3992","PARQUE ESTADUAL ÁGUAS LINDAS",2019,5,"ÁGUAS LINDAS DE GOIÁS","GO","Cerrado","0.1321757569536237","0.029368181685684502"
"0000.00.3098","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL AMPLUS LUCIDUS",2013,10,"ÁGUAS MORNAS","SC","Mata Atlântica","0.0878813451679354","0.02189548921463691"
"0000.43.2004","PARQUE ESTADUAL QUARTA COLÔNIA",2005,18,"AGUDO","RS","Mata Atlântica","0.124430831000044","0.07467560521756592"
"0000.35.3889","ÁREA DE RELEVANTE INTERESSE ECOLÓGICO LEOPOLDO MAGNO COUTINHO",2018,6,"AGUDOS","SP","Cerrado","0.4148052521806535","0.020337498059336597"
"0000.35.3889","ÁREA DE RELEVANTE INTERESSE ECOLÓGICO LEOPOLDO MAGNO COUTINHO",2018,6,"AGUDOS","SP","Mata Atlântica","0.41480525218065384","0.0203374980593366"
"0000.35.3891","REFÚGIO DE VIDA SILVESTRE AIMORÉS",2018,6,"AGUDOS","SP","Cerrado","0.41480525218065356","0.020337498059336597"
"0000.35.3891","REFÚGIO DE VIDA SILVESTRE AIMORÉS",2018,6,"AGUDOS","SP","Mata Atlântica","0.4148052521806538","0.0203374980593366"
"0000.00.0181","MONUMENTO NATURAL DOS PONTÕES CAPIXABAS",2002,21,"ÁGUIA BRANCA","ES","Mata Atlântica","0.0291888186996288","0.2797974272750593"
"0000.31.2383","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CACHOEIRA DO TOMBO",2006,17,"AIURUOCA","MG","Mata Atlântica","0.010496479202096898","0.027869002958108163"
"0000.31.2380","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BERÇO DE FURNAS II",2007,16,"AIURUOCA","MG","Mata Atlântica","0.011552043424217","0.026813438735988064"
"0000.31.2514","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SERRA DO PAPAGAIO - MATUTU",2008,15,"AIURUOCA","MG","Mata Atlântica","0.0150697646411628","0.023295717519042265"
"0000.31.2440","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FLORESTA DO PENGÁ",2007,16,"AIURUOCA","MG","Mata Atlântica","0.011552043424217","0.026813438735988064"
"0000.31.2394","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL DA MATA",2007,16,"AIURUOCA","MG","Mata Atlântica","0.011552043424217001","0.02681343873598806"
"0000.31.2393","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL DA FRAGALHA",2007,16,"AIURUOCA","MG","Mata Atlântica","0.011552043424217","0.026813438735988068"
"0000.31.2387","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CAMPINA",2007,16,"AIURUOCA","MG","Mata Atlântica","0.011552043424217","0.026813438735988064"
"0000.31.2379","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BERÇO DE FURNAS",2005,18,"AIURUOCA","MG","Mata Atlântica","0.0094409149799768","0.028924567180228265"
"0000.00.1683","ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA MERUOCA",2008,15,"ALCÂNTARAS","CE","Caatinga","1.9196785218287653","1.9296099070033972"
"0025.50.1997","MONUMENTO NATURAL MUNICIPAL SERRA DO BOM JARDIM",2003,21,"ALCINÓPOLIS","MS","Cerrado","1.5480944582986675","3.695848250255834"
"0025.50.4322","MONUMENTO NATURAL MUNICIPAL SERRA DO BOM SUCESSO",2018,6,"ALCINÓPOLIS","MS","Cerrado","4.451251903748982","0.7926908048055192"
"0025.50.1990","PARQUE NATURAL MUNICIPAL TEMPLO DOS PILARES",2003,21,"ALCINÓPOLIS","MS","Cerrado","1.5480944582986675","3.695848250255834"
"0000.00.1808","RESERVA EXTRATIVISTA DE CASSURUBÁ",2009,14,"ALCOBAÇA","BA","Mata Atlântica","0.6862422675442346","0.563927127786839"
"0000.00.1808","RESERVA EXTRATIVISTA DE CASSURUBÁ",2009,14,"ALCOBAÇA","BA","Área Marinha","0.6862422675442342","0.5639271277868388"
"0020.32.2878","ÁREA DE RELEVANTE INTERESSE ECOLÓGICO LAERTH PAIVA GAMA",2005,18,"ALEGRE","ES","Mata Atlântica","0.0654370413023604","0.11881311268298247"
"0000.32.1831","PARQUE ESTADUAL DA CACHOEIRA DA FUMAÇA",2009,14,"ALEGRE","ES","Mata Atlântica","0.30262625667940957","0.074612876275295"
"0000.15.1034","ESTAÇÃO ECOLÓGICA DO GRÃO PARÁ",2006,18,"ALENQUER","PA","Amazônia","0","99.40283775918498"
"0000.15.1038","FLORESTA ESTADUAL DO PARU",2006,18,"ALENQUER","PA","Amazônia","0","102.91132707083813"
"0000.15.1037","FLORESTA ESTADUAL DO TROMBETAS",2006,18,"ALENQUER","PA","Amazônia","0","102.91132707083813"
"0000.00.4472","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SANTUÁRIO ECOLÓGICO OLHOS D'ÁGUA",2015,9,"ALEXÂNIA","GO","Cerrado","1.248131378554986","0.1956718990559441"
"0000.32.3457","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ALTO GURURU",2016,7,"ALFREDO CHAVES","ES","Mata Atlântica","0.17157020493538838","0.018737532564816202"
"0000.32.2348","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL OIUTREM",2006,17,"ALFREDO CHAVES","ES","Mata Atlântica","0.0844812362760751","0.1058265012241295"
"0000.00.2229","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VALE DAS PEDRAS",2008,15,"ALFREDO WAGNER","SC","Mata Atlântica","0.23155758008150873","0.3643707207002463"
"0000.00.3099","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA RIO DAS FURNAS II",2013,10,"ALFREDO WAGNER","SC","Mata Atlântica","0.4295017978607141","0.16642650292104103"
"0000.42.3210","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTADUAL PEDRA BRANCA",2012,11,"ALFREDO WAGNER","SC","Mata Atlântica","0.3820227714549286","0.2139055293268265"
"0000.00.1078","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA RIO DAS FURNAS",2002,21,"ALFREDO WAGNER","SC","Mata Atlântica","0.0234773457725768","0.5724509550091784"
"0000.25.0490","ÁREA DE PROTEÇÃO AMBIENTAL DE TAMBABA",2002,21,"ALHANDRA","PB","Mata Atlântica","0.0369078776886939","0.3750975020373075"
"0000.15.1037","FLORESTA ESTADUAL DO TROMBETAS",2006,18,"ALMEIRIM","PA","Amazônia","0","102.91132707083811"
"0000.15.1038","FLORESTA ESTADUAL DO PARU",2006,18,"ALMEIRIM","PA","Amazônia","0","102.91132707083808"
"0000.00.0187","PARQUE NACIONAL MONTANHAS DO TUMUCUMAQUE",2002,22,"ALMEIRIM","PA","Amazônia","0","30.12996010227415"
"0000.15.1033","RESERVA BIOLÓGICA DE MAICURU",2006,18,"ALMEIRIM","PA","Amazônia","0","54.459513552743175"
"0000.00.0193","RESERVA BIOLÓGICA DA MATA ESCURA",2003,20,"ALMENARA","MG","Mata Atlântica","0.8661263565917757","6.591657643368853"
