codigo_uc;municipio;uf
0000.00.0001;GOVERNADOR CELSO RAMOS;SC
0000.00.0002;BONITO DE MINAS;MG
0000.00.0002;CÔNEGO MARINHO;MG
0000.00.0002;ITACARAMBI;MG
0000.00.0002;JANUÁRIA;MG
0000.00.0003;ÁGUAS LINDAS DE GOIÁS;GO
0000.00.0003;BRASÍLIA;DF
0000.00.0003;PADRE BERNARDO;GO
0000.00.0004;BRASÍLIA;DF
0000.00.0005;ARARUAMA;RJ
0000.00.0005;CABO FRIO;RJ
0000.00.0005;CACHOEIRAS DE MACACU;RJ
0000.00.0005;CASIMIRO DE ABREU;RJ
0000.00.0005;RIO BONITO;RJ
0000.00.0005;RIO DAS OSTRAS;RJ
0000.00.0005;SILVA JARDIM;RJ
0000.00.0006;FLORIANÓPOLIS;SC
0000.00.0006;GAROPABA;SC
0000.00.0006;IÇARA;SC
0000.00.0006;IMBITUBA;SC
0000.00.0006;JAGUARUNA;SC
0000.00.0006;LAGUNA;SC
0000.00.0006;PALHOÇA;SC
0000.00.0006;PAULO LOPES;SC
0000.00.0006;TUBARÃO;SC
0000.00.0007;BAÍA DA TRAIÇÃO;PB
0000.00.0007;LUCENA;PB
0000.00.0007;MARCAÇÃO;PB
0000.00.0007;RIO TINTO;PB
0000.00.0008;ABAIARA;CE
0000.00.0008;ALEGRETE DO PIAUÍ;PI
0000.00.0008;ALTANEIRA;CE
0000.00.0008;ARARIPE;CE
0000.00.0008;ARARIPINA;PE
0000.00.0008;ASSARÉ;CE
0000.00.0008;BARBALHA;CE
0000.00.0008;BODOCÓ;PE
0000.00.0008;BREJO SANTO;CE
0000.00.0008;CALDEIRÃO GRANDE DO PIAUÍ;PI
0000.00.0008;CAMPOS SALES;CE
0000.00.0008;CARIDADE DO PIAUÍ;PI
0000.00.0008;CEDRO;PE
0000.00.0008;CRATO;CE
0000.00.0008;CURRAL NOVO DO PIAUÍ;PI
0000.00.0008;EXU;PE
0000.00.0008;FARIAS BRITO;CE
0000.00.0008;FRANCISCO MACEDO;PI
0000.00.0008;FRONTEIRAS;PI
0000.00.0008;IPUBI;PE
0000.00.0008;JARDIM;CE
0000.00.0008;JATI;CE
0000.00.0008;MARCOLÂNDIA;PI
0000.00.0008;MISSÃO VELHA;CE
0000.00.0008;MOREILÂNDIA;PE
0000.00.0008;NOVA OLINDA;CE
0000.00.0008;PADRE MARCOS;PI
0000.00.0008;PENAFORTE;CE
0000.00.0008;PORTEIRAS;CE
0000.00.0008;POTENGI;CE
0000.00.0008;SALITRE;CE
0000.00.0008;SANTANA DO CARIRI;CE
0000.00.0008;SÃO JULIÃO;PI
0000.00.0008;SERRITA;PE
0000.00.0008;SIMÕES;PI
0000.00.0008;TRINDADE;PE
0000.00.0009;BARRA DE SANTO ANTÔNIO;AL
0000.00.0009;BARREIROS;PE
0000.00.0009;JAPARATINGA;AL
0000.00.0009;MACEIÓ;AL
0000.00.0009;MARAGOGI;AL
0000.00.0009;PARIPUEIRA;AL
0000.00.0009;PASSO DE CAMARAGIBE;AL
0000.00.0009;PORTO CALVO;AL
0000.00.0009;PORTO DE PEDRAS;AL
0000.00.0009;SÃO JOSÉ DA COROA GRANDE;PE
0000.00.0009;SÃO MIGUEL DOS MILAGRES;AL
0000.00.0009;TAMANDARÉ;PE
0000.00.0010;DUQUE DE CAXIAS;RJ
0000.00.0010;GUAPIMIRIM;RJ
0000.00.0010;MAGÉ;RJ
0000.00.0010;PETRÓPOLIS;RJ
0000.00.0011;AIURUOCA;MG
0000.00.0011;ALAGOA;MG
0000.00.0011;BAEPENDI;MG
0000.00.0011;BOCAINA DE MINAS;MG
0000.00.0011;CAMPOS DO JORDÃO;SP
0000.00.0011;CRUZEIRO;SP
0000.00.0011;DELFIM MOREIRA;MG
0000.00.0011;GUARATINGUETÁ;SP
0000.00.0011;ITAMONTE;MG
0000.00.0011;ITANHANDU;MG
0000.00.0011;ITATIAIA;RJ
0000.00.0011;LAVRINHAS;SP
0000.00.0011;LIBERDADE;MG
0000.00.0011;LORENA;SP
0000.00.0011;MARMELÓPOLIS;MG
0000.00.0011;PASSA QUATRO;MG
0000.00.0011;PASSA VINTE;MG
0000.00.0011;PINDAMONHANGABA;SP
0000.00.0011;PIQUETE;SP
0000.00.0011;PIRANGUÇU;MG
0000.00.0011;POUSO ALTO;MG
0000.00.0011;QUELUZ;SP
0000.00.0011;RESENDE;RJ
0000.00.0011;SANTO ANTÔNIO DO PINHAL;SP
0000.00.0011;SÃO BENTO DO SAPUCAÍ;SP
0000.00.0011;VIRGÍNIA;MG
0000.00.0011;WENCESLAU BRAZ;MG
0000.00.0012;ALTO PARNAÍBA;MA
0000.00.0012;BARREIRAS DO PIAUÍ;PI
0000.00.0012;FORMOSA DO RIO PRETO;BA
0000.00.0012;MATEIROS;TO
0000.00.0013;PARATY;RJ
0000.00.0014;CANANÉIA;SP
0000.00.0014;IGUAPE;SP
0000.00.0014;ILHA COMPRIDA;SP
0000.00.0014;ITARIRI;SP
0000.00.0014;MIRACATU;SP
0000.00.0014;PERUÍBE;SP
0000.00.0015;FERNANDO DE NORONHA;PE
0000.00.0016;GUAPIMIRIM;RJ
0000.00.0016;ITABORAÍ;RJ
0000.00.0016;MAGÉ;RJ
0000.00.0016;SÃO GONÇALO;RJ
0000.00.0017;ANTONINA;PR
0000.00.0017;CAMPINA GRANDE DO SUL;PR
0000.00.0017;GUARAQUEÇABA;PR
0000.00.0017;PARANAGUÁ;PR
0000.00.0018;FELIZ DESERTO;AL
0000.00.0018;PIAÇABUÇU;AL
0000.00.0019;ÁGUA DOCE DO MARANHÃO;MA
0000.00.0019;ARAIOSES;MA
0000.00.0019;BARROQUINHA;CE
0000.00.0019;CAJUEIRO DA PRAIA;PI
0000.00.0019;CHAVAL;CE
0000.00.0019;ILHA GRANDE;PI
0000.00.0019;LUÍS CORREIA;PI
0000.00.0019;PARNAÍBA;PI
0000.00.0019;PAULINO NEVES;MA
0000.00.0019;TUTÓIA;MA
0000.00.0020;CONFINS;MG
0000.00.0020;FUNILÂNDIA;MG
0000.00.0020;LAGOA SANTA;MG
0000.00.0020;MATOZINHOS;MG
0000.00.0020;PEDRO LEOPOLDO;MG
0000.00.0021;ALEGRETE;RS
0000.00.0021;QUARAÍ;RS
0000.00.0021;ROSÁRIO DO SUL;RS
0000.00.0021;SANT'ANA DO LIVRAMENTO;RS
0000.00.0022;PARAUAPEBAS;PA
0000.00.0023;BRASÍLIA;DF
0000.00.0023;PADRE BERNARDO;GO
0000.00.0023;PLANALTINA;GO
