municipio;uf;bioma
GOVERNADOR CELSO RAMOS;SC;Área Marinha
BONITO DE MINAS;MG;Cerrado
CÔNEGO MARINHO;MG;Cerrado
ITACARAMBI;MG;Cerrado
JANUÁRIA;MG;Cerrado
ÁGUAS LINDAS DE GOIÁS;GO;Cerrado
BRASÍLIA;DF;Cerrado
PADRE BERNARDO;GO;Cerrado
ARARUAMA;RJ;Mata Atlântica
CABO FRIO;RJ;Mata Atlântica
CACHOEIRAS DE MACACU;RJ;Mata Atlântica
CASIMIRO DE ABREU;RJ;Mata Atlântica
RIO BONITO;RJ;Mata Atlântica
RIO DAS OSTRAS;RJ;Mata Atlântica
SILVA JARDIM;RJ;Mata Atlântica
FLORIANÓPOLIS;SC;Área Marinha
GAROPABA;SC;Área Marinha
IÇARA;SC;Área Marinha
IMBITUBA;SC;Área Marinha
JAGUARUNA;SC;Área Marinha
LAGUNA;SC;Área Marinha
PALHOÇA;SC;Área Marinha
PAULO LOPES;SC;Área Marinha
TUBARÃO;SC;Área Marinha
BAÍA DA TRAIÇÃO;PB;Mata Atlântica
LUCENA;PB;Mata Atlântica
MARCAÇÃO;PB;Mata Atlântica
RIO TINTO;PB;Mata Atlântica
ABAIARA;CE;Caatinga
ALEGRETE DO PIAUÍ;PI;Caatinga
ALTANEIRA;CE;Caatinga
ARARIPE;CE;Caatinga
ARARIPINA;PE;Caatinga
ASSARÉ;CE;Caatinga
BARBALHA;CE;Caatinga
BODOCÓ;PE;Caatinga
BREJO SANTO;CE;Caatinga
CALDEIRÃO GRANDE DO PIAUÍ;PI;Caatinga
CAMPOS SALES;CE;Caatinga
CARIDADE DO PIAUÍ;PI;Caatinga
CEDRO;PE;Caatinga
CRATO;CE;Caatinga
CURRAL NOVO DO PIAUÍ;PI;Caatinga
EXU;PE;Caatinga
FARIAS BRITO;CE;Caatinga
FRANCISCO MACEDO;PI;Caatinga
FRONTEIRAS;PI;Caatinga
IPUBI;PE;Caatinga
JARDIM;CE;Caatinga
JATI;CE;Caatinga
MARCOLÂNDIA;PI;Caatinga
MISSÃO VELHA;CE;Caatinga
MOREILÂNDIA;PE;Caatinga
NOVA OLINDA;CE;Caatinga
PADRE MARCOS;PI;Caatinga
PENAFORTE;CE;Caatinga
PORTEIRAS;CE;Caatinga
POTENGI;CE;Caatinga
SALITRE;CE;Caatinga
SANTANA DO CARIRI;CE;Caatinga
SÃO JULIÃO;PI;Caatinga
SERRITA;PE;Caatinga
SIMÕES;PI;Caatinga
TRINDADE;PE;Caatinga
BARRA DE SANTO ANTÔNIO;AL;Área Marinha
BARREIROS;PE;Área Marinha
JAPARATINGA;AL;Área Marinha
MACEIÓ;AL;Área Marinha
MARAGOGI;AL;Área Marinha
PARIPUEIRA;AL;Área Marinha
PASSO DE CAMARAGIBE;AL;Área Marinha
PORTO CALVO;AL;Área Marinha
PORTO DE PEDRAS;AL;Área Marinha
SÃO JOSÉ DA COROA GRANDE;PE;Área Marinha
SÃO MIGUEL DOS MILAGRES;AL;Área Marinha
TAMANDARÉ;PE;Área Marinha
DUQUE DE CAXIAS;RJ;Mata Atlântica
GUAPIMIRIM;RJ;Mata Atlântica
MAGÉ;RJ;Mata Atlântica
PETRÓPOLIS;RJ;Mata Atlântica
AIURUOCA;MG;Mata Atlântica
ALAGOA;MG;Mata Atlântica
BAEPENDI;MG;Mata Atlântica
BOCAINA DE MINAS;MG;Mata Atlântica
CAMPOS DO JORDÃO;SP;Mata Atlântica
CRUZEIRO;SP;Mata Atlântica
DELFIM MOREIRA;MG;Mata Atlântica
GUARATINGUETÁ;SP;Mata Atlântica
ITAMONTE;MG;Mata Atlântica
ITANHANDU;MG;Mata Atlântica
ITATIAIA;RJ;Mata Atlântica
LAVRINHAS;SP;Mata Atlântica
LIBERDADE;MG;Mata Atlântica
LORENA;SP;Mata Atlântica
MARMELÓPOLIS;MG;Mata Atlântica
PASSA QUATRO;MG;Mata Atlântica
PASSA VINTE;MG;Mata Atlântica
PINDAMONHANGABA;SP;Mata Atlântica
PIQUETE;SP;Mata Atlântica
PIRANGUÇU;MG;Mata Atlântica
POUSO ALTO;MG;Mata Atlântica
QUELUZ;SP;Mata Atlântica
RESENDE;RJ;Mata Atlântica
SANTO ANTÔNIO DO PINHAL;SP;Mata Atlântica
SÃO BENTO DO SAPUCAÍ;SP;Mata Atlântica
VIRGÍNIA;MG;Mata Atlântica
WENCESLAU BRAZ;MG;Mata Atlântica
ALTO PARNAÍBA;MA;Cerrado
BARREIRAS DO PIAUÍ;PI;Cerrado
FORMOSA DO RIO PRETO;BA;Cerrado
MATEIROS;TO;Cerrado
PARATY;RJ;Mata Atlântica
CANANÉIA;SP;Mata Atlântica
IGUAPE;SP;Mata Atlântica
ILHA COMPRIDA;SP;Mata Atlântica
ITARIRI;SP;Mata Atlântica
MIRACATU;SP;Mata Atlântica
PERUÍBE;SP;Mata Atlântica
FERNANDO DE NORONHA;PE;Área Marinha
ITABORAÍ;RJ;Mata Atlântica
SÃO GONÇALO;RJ;Mata Atlântica
ANTONINA;PR;Mata Atlântica
CAMPINA GRANDE DO SUL;PR;Mata Atlântica
GUARAQUEÇABA;PR;Mata Atlântica
PARANAGUÁ;PR;Mata Atlântica
FELIZ DESERTO;AL;Mata Atlântica
PIAÇABUÇU;AL;Mata Atlântica
ÁGUA DOCE DO MARANHÃO;MA;Cerrado
ARAIOSES;MA;Cerrado
BARROQUINHA;CE;Cerrado
CAJUEIRO DA PRAIA;PI;Cerrado
CHAVAL;CE;Cerrado
ILHA GRANDE;PI;Cerrado
LUÍS CORREIA;PI;Cerrado
PARNAÍBA;PI;Cerrado
PAULINO NEVES;MA;Cerrado
TUTÓIA;MA;Cerrado
CONFINS;MG;Cerrado
FUNILÂNDIA;MG;Cerrado
