codigo_uc;bioma;area
0000.00.0001;Mata Atlântica;1877.0
0000.00.0001;Área Marinha;2559.0
0000.00.0002;Caatinga;6655.25
0000.00.0002;Cerrado;29183.5
0000.00.0003;Cerrado;13928.0
0000.00.0004;Cerrado;82681.0
0000.00.0005;Mata Atlântica;21482.14285714286
0000.00.0006;Mata Atlântica;3875.0
0000.00.0006;Área Marinha;13331.666666666666
0000.00.0007;Caatinga;47.0
0000.00.0007;Mata Atlântica;2855.75
0000.00.0007;Área Marinha;827.0
0000.00.0008;Caatinga;28260.444444444445
0000.00.0009;Mata Atlântica;408.6666666666667
0000.00.0009;Área Marinha;33393.75
0000.00.0010;Mata Atlântica;14672.75
0000.00.0011;Mata Atlântica;16204.62962962963
0000.00.0012;Cerrado;10444.75
0000.00.0013;Mata Atlântica;31934.0
0000.00.0013;Área Marinha;676.0
0000.00.0014;Mata Atlântica;33642.833333333336
0000.00.0014;Área Marinha;75.5
0000.00.0015;Mata Atlântica;787.0
0000.00.0015;Área Marinha;153571.0
0000.00.0016;Mata Atlântica;2227.25
0000.00.0016;Área Marinha;1245.25
0000.00.0017;Mata Atlântica;61410.25
0000.00.0018;Mata Atlântica;4521.0
0000.00.0018;Área Marinha;32.5
0000.00.0019;Caatinga;8562.1
0000.00.0019;Cerrado;13728.5
0000.00.0019;Área Marinha;8668.4
0000.00.0020;Cerrado;7547.2
0000.00.0021;Pampa;79165.5
0000.00.0022;Amazônia;23135.0
0000.00.0023;Cerrado;167806.33333333334
0000.00.0024;Cerrado;71838.4
0000.00.0025;Cerrado;1.2592592592592593
0000.00.0025;Mata Atlântica;37228.03703703704
0000.00.0027;Cerrado;15619.625
0000.00.0027;Mata Atlântica;851.75
0000.00.0028;Cerrado;34793.6
0000.00.0029;Caatinga;65715.66666666667
0000.00.0029;Cerrado;42867.066666666666
0000.00.0030;Cerrado;151.0
0000.00.0031;Cerrado;2057.0
0000.00.0032;Cerrado;1199.0
0000.00.0034;Mata Atlântica;63.0
0000.00.0034;Área Marinha;28.0
0000.00.0035;Mata Atlântica;62.5
0000.00.0036;Mata Atlântica;359.0
0000.00.0037;Mata Atlântica;53.0
0000.00.0037;Área Marinha;12.0
0000.00.0038;Amazônia;13177.0
0000.00.0039;Mata Atlântica;2884.0
0000.00.0039;Área Marinha;0.5
