year;areakm;municipality;geocode_ibge;state
2007;1005,9015083146184;Acrelândia;1200013;Acre
2008;23,667086506330076;Acrelândia;1200013;Acre
2009;12,93823347084189;Acrelândia;1200013;Acre
2010;11,332077910930398;Acrelândia;1200013;Acre
2011;15,938637565929199;Acrelândia;1200013;Acre
2012;4,16471750527215;Acrelândia;1200013;Acre
2013;9,475556251083084;Acrelândia;1200013;Acre
2014;18,896772683227375;Acrelândia;1200013;Acre
2015;14,76180228320116;Acrelândia;1200013;Acre
2016;23,80569057500759;Acrelândia;1200013;Acre
2017;5,7109049512944985;Acrelândia;1200013;Acre
2018;21,784422000655255;Acrelândia;1200013;Acre
2019;19,887947144833838;Acrelândia;1200013;Acre
2020;12,937555760472723;Acrelândia;1200013;Acre
2021;38,26531229894869;Acrelândia;1200013;Acre
2022;18,502625100248146;Acrelândia;1200013;Acre
2023;12,046049770524082;Acrelândia;1200013;Acre
2024;9,946522798597485;Acrelândia;1200013;Acre
2007;234,94272173955744;Assis Brasil;1200054;Acre
2008;3,419526434651009;Assis Brasil;1200054;Acre
2009;1,6006989968978553;Assis Brasil;1200054;Acre
2010;3,773774517894501;Assis Brasil;1200054;Acre
2011;2,8193837967996505;Assis Brasil;1200054;Acre
2012;2,3987495682861693;Assis Brasil;1200054;Acre
2013;4,803777966241909;Assis Brasil;1200054;Acre
2014;7,675468221457933;Assis Brasil;1200054;Acre
2015;5,939278573372556;Assis Brasil;1200054;Acre
2016;2,8939497492596655;Assis Brasil;1200054;Acre
2017;6,391257472073655;Assis Brasil;1200054;Acre
2018;7,925865348224261;Assis Brasil;1200054;Acre
2019;21,143888827873276;Assis Brasil;1200054;Acre
2020;18,174809651320658;Assis Brasil;1200054;Acre
2021;17,649863773246008;Assis Brasil;1200054;Acre
2022;8,464228214534161;Assis Brasil;1200054;Acre
2023;7,38167391120742;Assis Brasil;1200054;Acre
2024;6,151406532918419;Assis Brasil;1200054;Acre
2007;1203,1498264990696;Brasiléia;1200104;Acre
2008;12,663382698963357;Brasiléia;1200104;Acre
2009;8,217565014533545;Brasiléia;1200104;Acre
2010;11,955010528845433;Brasiléia;1200104;Acre
2011;14,519025024866579;Brasiléia;1200104;Acre
2012;12,888066060989543;Brasiléia;1200104;Acre
2013;17,194258742482827;Brasiléia;1200104;Acre
2014;33,42397911251034;Brasiléia;1200104;Acre
2015;22,060364191252198;Brasiléia;1200104;Acre
2016;17,714445001641003;Brasiléia;1200104;Acre
2017;23,12660225474095;Brasiléia;1200104;Acre
2018;21,08713642546238;Brasiléia;1200104;Acre
2019;58,610657353155744;Brasiléia;1200104;Acre
2020;40,12106795338988;Brasiléia;1200104;Acre
2021;61,198837390040424;Brasiléia;1200104;Acre
2022;30,609303668188335;Brasiléia;1200104;Acre
2023;22,513555836276954;Brasiléia;1200104;Acre
2024;19,109481091265252;Brasiléia;1200104;Acre
2007;1116,9559363778203;Bujari;1200138;Acre
2008;15,772079950013074;Bujari;1200138;Acre
2009;7,62123702008438;Bujari;1200138;Acre
2010;8,260086475385206;Bujari;1200138;Acre
2011;9,566167963089004;Bujari;1200138;Acre
2012;10,10680741007767;Bujari;1200138;Acre
2013;8,374876485689105;Bujari;1200138;Acre
2014;8,98501568549255;Bujari;1200138;Acre
2015;9,356973416325886;Bujari;1200138;Acre
2016;17,28700459220399;Bujari;1200138;Acre
2017;7,629898078427353;Bujari;1200138;Acre
2018;13,71239318846393;Bujari;1200138;Acre
2019;26,054598331922783;Bujari;1200138;Acre
2020;17,651505984106795;Bujari;1200138;Acre
2021;25,800045628592503;Bujari;1200138;Acre
2022;37,21034201244903;Bujari;1200138;Acre
2023;15,990267940224838;Bujari;1200138;Acre
2024;18,791181238843315;Bujari;1200138;Acre
2007;803,726959839437;Capixaba;1200179;Acre
2008;8,829852107369534;Capixaba;1200179;Acre
2009;3,787125956609667;Capixaba;1200179;Acre
2010;3,7485543569439055;Capixaba;1200179;Acre
2011;9,456904231624783;Capixaba;1200179;Acre
2012;15,112407035998345;Capixaba;1200179;Acre
2013;5,757857577626224;Capixaba;1200179;Acre
2014;9,618370413353661;Capixaba;1200179;Acre
2015;6,085182786661069;Capixaba;1200179;Acre
2016;16,64593326609688;Capixaba;1200179;Acre
2017;11,572004169704652;Capixaba;1200179;Acre
2018;10,267229399554848;Capixaba;1200179;Acre
2019;27,768298463176063;Capixaba;1200179;Acre
2020;18,800887694204132;Capixaba;1200179;Acre
2021;29,39553060647667;Capixaba;1200179;Acre
2022;31,97729971554715;Capixaba;1200179;Acre
2023;12,048030554317355;Capixaba;1200179;Acre
2024;6,727539717031945;Capixaba;1200179;Acre
2007;917,3839623104706;Cruzeiro do Sul;1200203;Acre
2008;11,024729988649401;Cruzeiro do Sul;1200203;Acre
2009;4,244619990437914;Cruzeiro do Sul;1200203;Acre
2010;22,184683673003548;Cruzeiro do Sul;1200203;Acre
2011;12,691133827584775;Cruzeiro do Sul;1200203;Acre
2012;9,458290393985079;Cruzeiro do Sul;1200203;Acre
2013;5,475049459782152;Cruzeiro do Sul;1200203;Acre
2014;10,649231138220268;Cruzeiro do Sul;1200203;Acre
2015;3,4344131945351295;Cruzeiro do Sul;1200203;Acre
2016;9,263035265528986;Cruzeiro do Sul;1200203;Acre
2017;9,4481945582538;Cruzeiro do Sul;1200203;Acre
2018;18,062036827141622;Cruzeiro do Sul;1200203;Acre
2019;25,21220374331395;Cruzeiro do Sul;1200203;Acre
2020;42,46801077816332;Cruzeiro do Sul;1200203;Acre
2021;33,56909102425046;Cruzeiro do Sul;1200203;Acre
2022;54,70516999571812;Cruzeiro do Sul;1200203;Acre
2023;28,062517722786577;Cruzeiro do Sul;1200203;Acre
2024;14,888997338765266;Cruzeiro do Sul;1200203;Acre
2007;785,3969407038371;Epitaciolândia;1200252;Acre
2008;4,3370230817450315;Epitaciolândia;1200252;Acre
2009;4,215658157315745;Epitaciolândia;1200252;Acre
2010;3,7520597358341763;Epitaciolândia;1200252;Acre
2011;7,109109556666401;Epitaciolândia;1200252;Acre
2012;12,330479342467152;Epitaciolândia;1200252;Acre
2013;6,403896371147008;Epitaciolândia;1200252;Acre
2014;8,91327211326373;Epitaciolândia;1200252;Acre
2015;9,740573174093772;Epitaciolândia;1200252;Acre
2016;7,306666616260436;Epitaciolândia;1200252;Acre
2017;5,546556043029595;Epitaciolândia;1200252;Acre
2018;7,987803144273738;Epitaciolândia;1200252;Acre
2019;11,37442527680754;Epitaciolândia;1200252;Acre
2020;8,447290106581223;Epitaciolândia;1200252;Acre
2021;18,651166502843648;Epitaciolândia;1200252;Acre
2022;10,734908757424552;Epitaciolândia;1200252;Acre
2023;9,014223360555675;Epitaciolândia;1200252;Acre
2024;5,746813998021092;Epitaciolândia;1200252;Acre
2007;1233,0649613083065;Feijó;1200302;Acre
2008;27,154492998394506;Feijó;1200302;Acre
2009;19,510951050461834;Feijó;1200302;Acre
2010;22,650038250100398;Feijó;1200302;Acre
2011;23,32094225106971;Feijó;1200302;Acre
2012;30,84448181077081;Feijó;1200302;Acre
2013;23,75058626660412;Feijó;1200302;Acre
2014;37,30634350604367;Feijó;1200302;Acre
2015;10,621369903561678;Feijó;1200302;Acre
2016;38,63043786059945;Feijó;1200302;Acre
2017;26,371369678431705;Feijó;1200302;Acre
2018;72,24470304252232;Feijó;1200302;Acre
2019;94,01746290854389;Feijó;1200302;Acre
2020;99,87712761795643;Feijó;1200302;Acre
2021;139,01409407209746;Feijó;1200302;Acre
2022;193,22068437035264;Feijó;1200302;Acre
2023;62,86281044270762;Feijó;1200302;Acre
2024;75,68581328042136;Feijó;1200302;Acre
2007;113,48361334133523;Jordão;1200328;Acre
2008;7,231227456646887;Jordão;1200328;Acre
2009;1,888165129342122;Jordão;1200328;Acre
2010;6,802984353752853;Jordão;1200328;Acre
2011;5,986263533654662;Jordão;1200328;Acre
2012;7,029948727652448;Jordão;1200328;Acre
2013;2,2185822308206578;Jordão;1200328;Acre
2014;6,906406579816299;Jordão;1200328;Acre
2015;0,927628652309474;Jordão;1200328;Acre
2016;2,141235036649278;Jordão;1200328;Acre
2017;2,4862917659951704;Jordão;1200328;Acre
2018;6,273835565112648;Jordão;1200328;Acre
2019;11,045403182443865;Jordão;1200328;Acre
2020;11,651268174066253;Jordão;1200328;Acre
2021;9,74308441211651;Jordão;1200328;Acre
2022;15,351907747217334;Jordão;1200328;Acre
2023;4,953830322806925;Jordão;1200328;Acre
2024;7,252141798794327;Jordão;1200328;Acre
2007;246,94399571702135;Manoel Urbano;1200344;Acre
2008;4,903631724086575;Manoel Urbano;1200344;Acre
2009;5,326229847734299;Manoel Urbano;1200344;Acre
2010;8,194996385489674;Manoel Urbano;1200344;Acre
2011;8,014796524737658;Manoel Urbano;1200344;Acre
2012;13,680466082014306;Manoel Urbano;1200344;Acre
2013;16,334963835220805;Manoel Urbano;1200344;Acre
2014;18,459666249016767;Manoel Urbano;1200344;Acre
2015;19,168399441632772;Manoel Urbano;1200344;Acre
2016;26,916937939733394;Manoel Urbano;1200344;Acre
2017;17,58290419523331;Manoel Urbano;1200344;Acre
2018;46,455581102413774;Manoel Urbano;1200344;Acre
2019;31,617732163530825;Manoel Urbano;1200344;Acre
2020;54,00287142445099;Manoel Urbano;1200344;Acre
2021;41,5446369096609;Manoel Urbano;1200344;Acre
2022;88,29890639697923;Manoel Urbano;1200344;Acre
2023;30,428432666364134;Manoel Urbano;1200344;Acre
2024;24,449994950246147;Manoel Urbano;1200344;Acre
2007;182,6700622152257;Marechal Thaumaturgo;1200351;Acre
2008;11,83866432430098;Marechal Thaumaturgo;1200351;Acre
2009;0,06074754333942174;Marechal Thaumaturgo;1200351;Acre
2010;22,028140529118527;Marechal Thaumaturgo;1200351;Acre
2011;10,887392540960537;Marechal Thaumaturgo;1200351;Acre
2012;3,6729682355930606;Marechal Thaumaturgo;1200351;Acre
2013;2,16216895176458;Marechal Thaumaturgo;1200351;Acre
2014;8,861123098034149;Marechal Thaumaturgo;1200351;Acre
2015;0,4654908338505476;Marechal Thaumaturgo;1200351;Acre
2016;2,5779650938347785;Marechal Thaumaturgo;1200351;Acre
2017;2,586283775382404;Marechal Thaumaturgo;1200351;Acre
2018;4,07282050876412;Marechal Thaumaturgo;1200351;Acre
2019;13,670705039267787;Marechal Thaumaturgo;1200351;Acre
2020;28,647523908163805;Marechal Thaumaturgo;1200351;Acre
2021;6,334785822063035;Marechal Thaumaturgo;1200351;Acre
2022;9,783353746729587;Marechal Thaumaturgo;1200351;Acre
2023;10,833011139250688;Marechal Thaumaturgo;1200351;Acre
2024;9,109852680527766;Marechal Thaumaturgo;1200351;Acre
2007;367,1207551043818;Mâncio Lima;1200336;Acre
2008;4,308356667790488;Mâncio Lima;1200336;Acre
2009;1,2999798503294857;Mâncio Lima;1200336;Acre
2010;4,65281783626239;Mâncio Lima;1200336;Acre
2011;11,660076303477448;Mâncio Lima;1200336;Acre
2012;3,290452964548529;Mâncio Lima;1200336;Acre
2013;2,5977189528100926;Mâncio Lima;1200336;Acre
