year;areakm;municipality;geocode_ibge;state
2000;222,38078323112907;Arapiraca;2700300;Alagoas
2001;2,434700627308511;Arapiraca;2700300;Alagoas
2002;2,434700627308511;Arapiraca;2700300;Alagoas
2003;2,434700627308511;Arapiraca;2700300;Alagoas
2004;2,434700627308511;Arapiraca;2700300;Alagoas
2005;3,1690198996709973;Arapiraca;2700300;Alagoas
2006;3,1690198996709973;Arapiraca;2700300;Alagoas
2007;0,03666089721038157;Arapiraca;2700300;Alagoas
2008;0,03666089721038157;Arapiraca;2700300;Alagoas
2009;0,13793281381436093;Arapiraca;2700300;Alagoas
2010;0,13793281381436093;Arapiraca;2700300;Alagoas
2011;0,13694876176231163;Arapiraca;2700300;Alagoas
2012;0,47140181479834714;Arapiraca;2700300;Alagoas
2013;0,47140181479834714;Arapiraca;2700300;Alagoas
2014;0;Arapiraca;2700300;Alagoas
2015;0,09547352247557116;Arapiraca;2700300;Alagoas
2016;0,09547352247557116;Arapiraca;2700300;Alagoas
2017;0,27348012776436115;Arapiraca;2700300;Alagoas
2018;0,032788308609613154;Arapiraca;2700300;Alagoas
2019;0,07827224526612774;Arapiraca;2700300;Alagoas
2020;0,03479040178358951;Arapiraca;2700300;Alagoas
2021;0,042891493238209864;Arapiraca;2700300;Alagoas
2022;0;Arapiraca;2700300;Alagoas
2023;0,22516143459746008;Arapiraca;2700300;Alagoas
2000;208,67073538772567;Batalha;2700706;Alagoas
2001;6,920978093586355;Batalha;2700706;Alagoas
2002;6,920978093586355;Batalha;2700706;Alagoas
2003;6,920978093586355;Batalha;2700706;Alagoas
2004;6,920978093586355;Batalha;2700706;Alagoas
2005;7,3607952022508325;Batalha;2700706;Alagoas
2006;7,3607952022508325;Batalha;2700706;Alagoas
2007;3,0683390118632206;Batalha;2700706;Alagoas
2008;3,0683390118632206;Batalha;2700706;Alagoas
2009;2,758120365066905;Batalha;2700706;Alagoas
2010;2,758120365066905;Batalha;2700706;Alagoas
2011;1,0273135072472188;Batalha;2700706;Alagoas
2012;4,009378422743411;Batalha;2700706;Alagoas
2013;4,009378422743411;Batalha;2700706;Alagoas
2014;1,8556454873562858;Batalha;2700706;Alagoas
2015;1,2389153629483092;Batalha;2700706;Alagoas
2016;1,2389153629483092;Batalha;2700706;Alagoas
2017;3,239992691492896;Batalha;2700706;Alagoas
2018;1,7146105104682465;Batalha;2700706;Alagoas
2019;0,767706192826136;Batalha;2700706;Alagoas
2020;0,38135733719512854;Batalha;2700706;Alagoas
2021;0,8298082095852057;Batalha;2700706;Alagoas
2022;1,2401355105830327;Batalha;2700706;Alagoas
2023;1,6420469433655867;Batalha;2700706;Alagoas
2000;161,83003410899713;Belo Monte;2700904;Alagoas
2001;5,056601845872441;Belo Monte;2700904;Alagoas
2002;5,056601845872441;Belo Monte;2700904;Alagoas
2003;5,056601845872441;Belo Monte;2700904;Alagoas
2004;5,056601845872441;Belo Monte;2700904;Alagoas
2005;4,374213479680449;Belo Monte;2700904;Alagoas
2006;4,374213479680449;Belo Monte;2700904;Alagoas
2007;3,1515496053055476;Belo Monte;2700904;Alagoas
2008;3,1515496053055476;Belo Monte;2700904;Alagoas
2009;1,6811843307057903;Belo Monte;2700904;Alagoas
2010;1,6811843307057903;Belo Monte;2700904;Alagoas
2011;2,872465135665886;Belo Monte;2700904;Alagoas
2012;4,621267868181064;Belo Monte;2700904;Alagoas
2013;4,621267868181064;Belo Monte;2700904;Alagoas
2014;4,11506199452338;Belo Monte;2700904;Alagoas
2015;0,4760034147810674;Belo Monte;2700904;Alagoas
2016;0,4760034147810674;Belo Monte;2700904;Alagoas
2017;2,3651504242468837;Belo Monte;2700904;Alagoas
2018;0,646107971748392;Belo Monte;2700904;Alagoas
2019;2,321928786772366;Belo Monte;2700904;Alagoas
