year;areakm;municipality;geocode_ibge;state
2000;16,17276240205077;Angical;2901403;Bahia
2001;1,1981607048740774;Angical;2901403;Bahia
2002;1,1981607048740774;Angical;2901403;Bahia
2003;0,46222831694414773;Angical;2901403;Bahia
2004;0,46222831694414773;Angical;2901403;Bahia
2005;3,8091951238045128;Angical;2901403;Bahia
2006;3,8091951238045128;Angical;2901403;Bahia
2007;5,733387481855282;Angical;2901403;Bahia
2008;5,733387481855282;Angical;2901403;Bahia
2009;2,9681501807438058;Angical;2901403;Bahia
2010;2,9681501807438058;Angical;2901403;Bahia
2011;2,6575713793832803;Angical;2901403;Bahia
2012;2,6575713793832803;Angical;2901403;Bahia
2013;3,0022265261557806;Angical;2901403;Bahia
2014;0,4883545603782384;Angical;2901403;Bahia
2015;1,744763236974752;Angical;2901403;Bahia
2016;0,9356273426714349;Angical;2901403;Bahia
2017;0,9334080274845274;Angical;2901403;Bahia
2018;0,9875319571865212;Angical;2901403;Bahia
2019;0,32496592434700405;Angical;2901403;Bahia
2020;3,9111911224139844;Angical;2901403;Bahia
2021;6,336302981440586;Angical;2901403;Bahia
2022;3,1248115799081724;Angical;2901403;Bahia
2023;9,110926090045487;Angical;2901403;Bahia
2024;0,3909197867281127;Angical;2901403;Bahia
2000;425,66774368356664;Baianópolis;2902500;Bahia
2001;30,639187644216946;Baianópolis;2902500;Bahia
2002;30,639187644216946;Baianópolis;2902500;Bahia
2003;47,933612092392785;Baianópolis;2902500;Bahia
2004;47,933612092392785;Baianópolis;2902500;Bahia
2005;43,681816485963246;Baianópolis;2902500;Bahia
2006;43,681816485963246;Baianópolis;2902500;Bahia
2007;47,69180583552937;Baianópolis;2902500;Bahia
2008;47,69180583552937;Baianópolis;2902500;Bahia
2009;21,045827219211144;Baianópolis;2902500;Bahia
2010;21,045827219211144;Baianópolis;2902500;Bahia
2011;38,72840746719885;Baianópolis;2902500;Bahia
2012;38,72840746719885;Baianópolis;2902500;Bahia
2013;50,4030343323795;Baianópolis;2902500;Bahia
2014;32,0326135205577;Baianópolis;2902500;Bahia
2015;87,96375844739865;Baianópolis;2902500;Bahia
2016;27,105596257604052;Baianópolis;2902500;Bahia
2017;39,92839094027596;Baianópolis;2902500;Bahia
2018;27,68305463355383;Baianópolis;2902500;Bahia
2019;12,435797017621752;Baianópolis;2902500;Bahia
2020;20,13296123987378;Baianópolis;2902500;Bahia
2021;72,66670696180482;Baianópolis;2902500;Bahia
2022;52,063580151894634;Baianópolis;2902500;Bahia
2023;55,85331085184202;Baianópolis;2902500;Bahia
2024;19,299532319842093;Baianópolis;2902500;Bahia
2000;2395,2127937028285;Barreiras;2903201;Bahia
2001;102,57349355450228;Barreiras;2903201;Bahia
2002;102,57349355450228;Barreiras;2903201;Bahia
2003;118,64261245159582;Barreiras;2903201;Bahia
2004;118,64261245159582;Barreiras;2903201;Bahia
2005;106,41118549954867;Barreiras;2903201;Bahia
2006;106,41118549954867;Barreiras;2903201;Bahia
2007;93,07862428424254;Barreiras;2903201;Bahia
2008;93,07862428424254;Barreiras;2903201;Bahia
2009;93,01793702375906;Barreiras;2903201;Bahia
2010;93,01793702375906;Barreiras;2903201;Bahia
2011;169,41118498022658;Barreiras;2903201;Bahia
2012;169,41118498022658;Barreiras;2903201;Bahia
2013;103,1575194844993;Barreiras;2903201;Bahia
2014;37,86431406848756;Barreiras;2903201;Bahia
2015;66,91804009930279;Barreiras;2903201;Bahia
2016;57,05719032818007;Barreiras;2903201;Bahia
2017;61,03046087922449;Barreiras;2903201;Bahia
2018;74,28320119817265;Barreiras;2903201;Bahia
