year;areakm;municipality;geocode_ibge;state
2000;167,3746594907879;Anadia;2700201;Alagoas
2001;2,0284621984659963;Anadia;2700201;Alagoas
2002;2,0284621984659963;Anadia;2700201;Alagoas
2003;2,0284621984659963;Anadia;2700201;Alagoas
2004;2,0284621984659963;Anadia;2700201;Alagoas
2005;1,5820269140724614;Anadia;2700201;Alagoas
2006;1,5820269140724614;Anadia;2700201;Alagoas
2007;0,38237339647321444;Anadia;2700201;Alagoas
2008;0,38237339647321444;Anadia;2700201;Alagoas
2009;0,01470214088117153;Anadia;2700201;Alagoas
2010;0,01470214088117153;Anadia;2700201;Alagoas
2011;0;Anadia;2700201;Alagoas
2012;0;Anadia;2700201;Alagoas
2013;0;Anadia;2700201;Alagoas
2014;0;Anadia;2700201;Alagoas
2015;0,22865383586846505;Anadia;2700201;Alagoas
2016;0,22865383586846505;Anadia;2700201;Alagoas
2017;0;Anadia;2700201;Alagoas
2018;0;Anadia;2700201;Alagoas
2019;0;Anadia;2700201;Alagoas
2020;0;Anadia;2700201;Alagoas
2021;0;Anadia;2700201;Alagoas
2022;0;Anadia;2700201;Alagoas
2023;0;Anadia;2700201;Alagoas
2000;103,27513132532957;Arapiraca;2700300;Alagoas
2001;0,40769222083887585;Arapiraca;2700300;Alagoas
2002;0,40769222083887585;Arapiraca;2700300;Alagoas
2003;0,40769222083887585;Arapiraca;2700300;Alagoas
2004;0,40769222083887585;Arapiraca;2700300;Alagoas
2005;0,6055496929255135;Arapiraca;2700300;Alagoas
2006;0,6055496929255135;Arapiraca;2700300;Alagoas
2007;0;Arapiraca;2700300;Alagoas
2008;0;Arapiraca;2700300;Alagoas
2009;0,0332921280137745;Arapiraca;2700300;Alagoas
2010;0,0332921280137745;Arapiraca;2700300;Alagoas
2011;0,14352661203909062;Arapiraca;2700300;Alagoas
2012;0,05033741055539324;Arapiraca;2700300;Alagoas
2013;0,05033741055539324;Arapiraca;2700300;Alagoas
2014;0;Arapiraca;2700300;Alagoas
2015;0,1293235193322142;Arapiraca;2700300;Alagoas
2016;0,1293235193322142;Arapiraca;2700300;Alagoas
2017;0;Arapiraca;2700300;Alagoas
2018;0;Arapiraca;2700300;Alagoas
2019;0,034934068459933625;Arapiraca;2700300;Alagoas
2020;0,030150225607176583;Arapiraca;2700300;Alagoas
2021;0;Arapiraca;2700300;Alagoas
2022;0;Arapiraca;2700300;Alagoas
