year;areakm;municipality;geocode_ibge;state
2000;857,753185995148;Aceguá;4300034;Rio Grande do Sul
2001;28,22103342441031;Aceguá;4300034;Rio Grande do Sul
2002;28,22103342441031;Aceguá;4300034;Rio Grande do Sul
2003;28,22103342441031;Aceguá;4300034;Rio Grande do Sul
2004;28,22103342441031;Aceguá;4300034;Rio Grande do Sul
2005;26,35426905906422;Aceguá;4300034;Rio Grande do Sul
2006;26,35426905906422;Aceguá;4300034;Rio Grande do Sul
2007;22,293635231185558;Aceguá;4300034;Rio Grande do Sul
2008;22,293635231185558;Aceguá;4300034;Rio Grande do Sul
2009;8,546500024018965;Aceguá;4300034;Rio Grande do Sul
2010;8,546500024018965;Aceguá;4300034;Rio Grande do Sul
2011;18,65424267907346;Aceguá;4300034;Rio Grande do Sul
2012;12,929797350199255;Aceguá;4300034;Rio Grande do Sul
2013;12,929797350199255;Aceguá;4300034;Rio Grande do Sul
2014;37,17706153153956;Aceguá;4300034;Rio Grande do Sul
2015;6,962356146645131;Aceguá;4300034;Rio Grande do Sul
2016;6,962356146645131;Aceguá;4300034;Rio Grande do Sul
2017;8,788913421234914;Aceguá;4300034;Rio Grande do Sul
2018;5,720880449399383;Aceguá;4300034;Rio Grande do Sul
2019;14,403005905177091;Aceguá;4300034;Rio Grande do Sul
2020;4,739709989130902;Aceguá;4300034;Rio Grande do Sul
2021;14,36035165823904;Aceguá;4300034;Rio Grande do Sul
2022;7,129720177421676;Aceguá;4300034;Rio Grande do Sul
2023;9,189512491865647;Aceguá;4300034;Rio Grande do Sul
2000;29,370034628389554;Ajuricaba;4300208;Rio Grande do Sul
2001;0;Ajuricaba;4300208;Rio Grande do Sul
2002;0;Ajuricaba;4300208;Rio Grande do Sul
2003;0;Ajuricaba;4300208;Rio Grande do Sul
2004;0;Ajuricaba;4300208;Rio Grande do Sul
2005;0,010931428029841511;Ajuricaba;4300208;Rio Grande do Sul
2006;0,010931428029841511;Ajuricaba;4300208;Rio Grande do Sul
2007;0;Ajuricaba;4300208;Rio Grande do Sul
2008;0;Ajuricaba;4300208;Rio Grande do Sul
2009;0;Ajuricaba;4300208;Rio Grande do Sul
2010;0;Ajuricaba;4300208;Rio Grande do Sul
2011;0;Ajuricaba;4300208;Rio Grande do Sul
2012;0;Ajuricaba;4300208;Rio Grande do Sul
2013;0;Ajuricaba;4300208;Rio Grande do Sul
2014;0;Ajuricaba;4300208;Rio Grande do Sul
2015;0;Ajuricaba;4300208;Rio Grande do Sul
2016;0;Ajuricaba;4300208;Rio Grande do Sul
2017;0;Ajuricaba;4300208;Rio Grande do Sul
2018;0,011007598019045097;Ajuricaba;4300208;Rio Grande do Sul
2019;0;Ajuricaba;4300208;Rio Grande do Sul
2020;0,010452154892753333;Ajuricaba;4300208;Rio Grande do Sul
2021;0;Ajuricaba;4300208;Rio Grande do Sul
2022;0;Ajuricaba;4300208;Rio Grande do Sul
2023;0;Ajuricaba;4300208;Rio Grande do Sul
2000;2220,0415155610685;Alegrete;4300406;Rio Grande do Sul
2001;188,06842478833153;Alegrete;4300406;Rio Grande do Sul
2002;188,06842478833153;Alegrete;4300406;Rio Grande do Sul
2003;188,06842478833153;Alegrete;4300406;Rio Grande do Sul
2004;188,06842478833153;Alegrete;4300406;Rio Grande do Sul
2005;91,7983264574315;Alegrete;4300406;Rio Grande do Sul
2006;91,7983264574315;Alegrete;4300406;Rio Grande do Sul
2007;59,45431104953929;Alegrete;4300406;Rio Grande do Sul
2008;59,45431104953929;Alegrete;4300406;Rio Grande do Sul
2009;55,0281325624629;Alegrete;4300406;Rio Grande do Sul
2010;55,0281325624629;Alegrete;4300406;Rio Grande do Sul
2011;58,93256270687367;Alegrete;4300406;Rio Grande do Sul
2012;72,93698537675111;Alegrete;4300406;Rio Grande do Sul
2013;72,93698537675111;Alegrete;4300406;Rio Grande do Sul
2014;59,92505998172609;Alegrete;4300406;Rio Grande do Sul
2015;57,587784231627836;Alegrete;4300406;Rio Grande do Sul
2016;57,587784231627836;Alegrete;4300406;Rio Grande do Sul
2017;49,620949039825135;Alegrete;4300406;Rio Grande do Sul
2018;97,90111559265424;Alegrete;4300406;Rio Grande do Sul
2019;45,83856159233476;Alegrete;4300406;Rio Grande do Sul
2020;52,19136140536998;Alegrete;4300406;Rio Grande do Sul
