year;areakm;municipality;geocode_ibge;state
2000;694,530063605757;Barão de Melgaço;5101605;Mato Grosso
2001;19,643558016200625;Barão de Melgaço;5101605;Mato Grosso
2002;19,643558016200625;Barão de Melgaço;5101605;Mato Grosso
2003;19,643558016200625;Barão de Melgaço;5101605;Mato Grosso
2004;19,643558016200625;Barão de Melgaço;5101605;Mato Grosso
2005;29,975933755643023;Barão de Melgaço;5101605;Mato Grosso
2006;29,975933755643023;Barão de Melgaço;5101605;Mato Grosso
2007;24,60332047879743;Barão de Melgaço;5101605;Mato Grosso
2008;24,60332047879743;Barão de Melgaço;5101605;Mato Grosso
2009;34,19070187607517;Barão de Melgaço;5101605;Mato Grosso
2010;34,19070187607517;Barão de Melgaço;5101605;Mato Grosso
2011;15,067375936405524;Barão de Melgaço;5101605;Mato Grosso
2012;9,175833983597961;Barão de Melgaço;5101605;Mato Grosso
2013;9,175833983597961;Barão de Melgaço;5101605;Mato Grosso
2014;18,819760758357702;Barão de Melgaço;5101605;Mato Grosso
2015;34,77630204919233;Barão de Melgaço;5101605;Mato Grosso
2016;34,77630204919233;Barão de Melgaço;5101605;Mato Grosso
2017;80,35344636095826;Barão de Melgaço;5101605;Mato Grosso
2018;42,18776267731317;Barão de Melgaço;5101605;Mato Grosso
2019;30,393838508497417;Barão de Melgaço;5101605;Mato Grosso
2020;21,05979088275906;Barão de Melgaço;5101605;Mato Grosso
2021;6,982788646397323;Barão de Melgaço;5101605;Mato Grosso
2022;94,3405778290037;Barão de Melgaço;5101605;Mato Grosso
2023;35,00211392389368;Barão de Melgaço;5101605;Mato Grosso
2000;25,052503399844706;Curvelândia;5103437;Mato Grosso
2001;0,13142931164843105;Curvelândia;5103437;Mato Grosso
2002;0,13142931164843105;Curvelândia;5103437;Mato Grosso
2003;0,13142931164843105;Curvelândia;5103437;Mato Grosso
2004;0,13142931164843105;Curvelândia;5103437;Mato Grosso
2005;0,030583189344266133;Curvelândia;5103437;Mato Grosso
2006;0,030583189344266133;Curvelândia;5103437;Mato Grosso
2007;0,02141361416284767;Curvelândia;5103437;Mato Grosso
2008;0,02141361416284767;Curvelândia;5103437;Mato Grosso
2009;0,027283954002634624;Curvelândia;5103437;Mato Grosso
2010;0,027283954002634624;Curvelândia;5103437;Mato Grosso
2011;0;Curvelândia;5103437;Mato Grosso
2012;0;Curvelândia;5103437;Mato Grosso
2013;0;Curvelândia;5103437;Mato Grosso
2014;0;Curvelândia;5103437;Mato Grosso
2015;0;Curvelândia;5103437;Mato Grosso
2016;0;Curvelândia;5103437;Mato Grosso
2017;0;Curvelândia;5103437;Mato Grosso
2018;0,02988964027171605;Curvelândia;5103437;Mato Grosso
2019;0;Curvelândia;5103437;Mato Grosso
2020;0;Curvelândia;5103437;Mato Grosso
2021;0;Curvelândia;5103437;Mato Grosso
2022;0;Curvelândia;5103437;Mato Grosso
2023;0;Curvelândia;5103437;Mato Grosso
2000;2326,5662255727675;Cáceres;5102504;Mato Grosso
2001;135,67494764029792;Cáceres;5102504;Mato Grosso
2002;135,67494764029792;Cáceres;5102504;Mato Grosso
2003;135,67494764029792;Cáceres;5102504;Mato Grosso
2004;135,67494764029792;Cáceres;5102504;Mato Grosso
2005;67,68950577933485;Cáceres;5102504;Mato Grosso
2006;67,68950577933485;Cáceres;5102504;Mato Grosso
2007;43,50501292517536;Cáceres;5102504;Mato Grosso
2008;43,50501292517536;Cáceres;5102504;Mato Grosso
2009;32,97150370815595;Cáceres;5102504;Mato Grosso
2010;32,97150370815595;Cáceres;5102504;Mato Grosso
2011;45,58789656562925;Cáceres;5102504;Mato Grosso
2012;29,743466318765584;Cáceres;5102504;Mato Grosso
2013;29,743466318765584;Cáceres;5102504;Mato Grosso
2014;31,91832097126479;Cáceres;5102504;Mato Grosso
2015;40,5298172049809;Cáceres;5102504;Mato Grosso
2016;40,5298172049809;Cáceres;5102504;Mato Grosso
2017;32,85427609644233;Cáceres;5102504;Mato Grosso
2018;49,39652456957026;Cáceres;5102504;Mato Grosso
2019;20,52761550504704;Cáceres;5102504;Mato Grosso
2020;25,044768375562484;Cáceres;5102504;Mato Grosso
2021;27,112770374478877;Cáceres;5102504;Mato Grosso
2022;19,50117222898582;Cáceres;5102504;Mato Grosso
2023;23,67213293767474;Cáceres;5102504;Mato Grosso
2000;2,4966893617099104;Glória D'Oeste;5103957;Mato Grosso
2001;0;Glória D'Oeste;5103957;Mato Grosso
2002;0;Glória D'Oeste;5103957;Mato Grosso
2003;0;Glória D'Oeste;5103957;Mato Grosso
2004;0;Glória D'Oeste;5103957;Mato Grosso
2005;0;Glória D'Oeste;5103957;Mato Grosso
2006;0;Glória D'Oeste;5103957;Mato Grosso
2007;0,06995775908987056;Glória D'Oeste;5103957;Mato Grosso
2008;0,06995775908987056;Glória D'Oeste;5103957;Mato Grosso
2009;0;Glória D'Oeste;5103957;Mato Grosso
2010;0;Glória D'Oeste;5103957;Mato Grosso
2011;0;Glória D'Oeste;5103957;Mato Grosso
2012;0;Glória D'Oeste;5103957;Mato Grosso
2013;0;Glória D'Oeste;5103957;Mato Grosso
2014;0;Glória D'Oeste;5103957;Mato Grosso
2015;0;Glória D'Oeste;5103957;Mato Grosso
2016;0;Glória D'Oeste;5103957;Mato Grosso
2017;0;Glória D'Oeste;5103957;Mato Grosso
2018;0;Glória D'Oeste;5103957;Mato Grosso
2019;0;Glória D'Oeste;5103957;Mato Grosso
2020;0,03443120673240527;Glória D'Oeste;5103957;Mato Grosso
2021;0;Glória D'Oeste;5103957;Mato Grosso
2022;0;Glória D'Oeste;5103957;Mato Grosso
2023;0;Glória D'Oeste;5103957;Mato Grosso
2000;138,70596255947262;Itiquira;5104609;Mato Grosso
2001;17,038810492901856;Itiquira;5104609;Mato Grosso
2002;17,038810492901856;Itiquira;5104609;Mato Grosso
2003;17,038810492901856;Itiquira;5104609;Mato Grosso
2004;17,038810492901856;Itiquira;5104609;Mato Grosso
2005;4,422375413593109;Itiquira;5104609;Mato Grosso
2006;4,422375413593109;Itiquira;5104609;Mato Grosso
2007;1,2862149908377074;Itiquira;5104609;Mato Grosso
2008;1,2862149908377074;Itiquira;5104609;Mato Grosso
2009;5,034988773522068;Itiquira;5104609;Mato Grosso
2010;5,034988773522068;Itiquira;5104609;Mato Grosso
2011;4,213600088958704;Itiquira;5104609;Mato Grosso
